451001-3450;;Icemex ehf;450298-2399;;;451115-1460;;
451115-1460;;Icemex ehf.;430671-0149;;;451205-0560;;
451205-0560;;Ígrip ehf;690402-2620;;;451295-2929;;
451295-2929;;Ísdal ehf;550796-2289;;;460178-0299;;
460178-0299;;Ísdal ehf.;420178-0349;;;460290-1559;;
460290-1559;;Ísl. verslunarf. (önnur kennit;491202-3510;;;460318-1220;;
460318-1220;;Íslensk Ameríska hf.;470710-0390;;;460404-2310;;
460404-2310;;Íslensk-ameríska verslfél ehf;660169-1729;;;460493-2189;;
460493-2189;;Íslenska verslunarfélagið ehf;491202-3510;;;460603-3150;;
460603-3150;;Íspol Imports sf;670905-2760;;;460711-1420;;
460711-1420;;Ístindar ehf;531206-1260;;;460999-2519;;
460999-2519;;Joel-pappírspokagerð ehf;690496-2169;;;461000-2820;;
461000-2820;;Jóel, pappírspokagerð;690496-2169;;;461004-3180;;
461004-3180;;Jón Ásbjörnsson hf.;420369-7789;;;461205-1190;;
461205-1190;;Jón Karl Einarsson;590398-2259;;;461216-1100;;
461216-1100;;Jón Karl Einarsson e;590398-2259;;;470105-2240;;
470105-2240;;Jóra ehf;570591-1509;;;470169-1419;;
470169-1419;;Karl K. Karlsson;601289-1489;;;470193-2559;;
470193-2559;;Karl K. Karlsson hei;550595-2579;;;470205-0400;;
470205-0400;;Karl K. Karlsson hf;501117-0210;;;470206-1600;;
470206-1600;;Karl K. Karlsson hf.;670502-2010;;;470207-0190;;
470207-0190;;Karton ehf;631291-1209;;;470214-1200;;
470214-1200;;Kasima;580199-2919;;;470269-3759;;
470269-3759;;Kassagerðin hf.;490269-4019;;;470302-4290;;
470302-4290;;Kísill ehf;701294-7859;;;470415-1260;;
470415-1260;;Kísill hf.;701294-7859;;;470486-0159;;
470486-0159;;Kokka ehf;660101-3140;;;470515-2440;;
470515-2440;;Krapi ehf;700498-2719;;;470596-2289;;
470596-2289;;Krapi ehf.;700498-2719;;;470618-0860;;
470618-0860;;Land sf;610384-0219;;;470706-1040;;
470706-1040;;Land sf.;610384-0219;;;470710-0390;;
470710-0390;;Latino Market ehf;510107-1870;;;470766-0189;;
470766-0189;;Líf hf;680604-4010;;;470909-0800;;
470909-0800;;Lind ehf;530303-2410;;;471116-0680;;
471116-0680;;Lind ehf.;530303-2410;;;471204-2340;;
471204-2340;;Lyon ehf;561092-2069;;;471289-2569;;
471289-2569;;Marex ehf;590697-2069;;;480290-1279;;
480290-1279;;Marex ehf.;590697-2069;;;480414-1010;;
480414-1010;;Margt ehf;421006-0400;;;481085-0399;;
481085-0399;;Marvík ehf;420992-2389;;;490104-2160;;
490104-2160;;Marvin ehf;470706-1040;;;490211-0630;;
490211-0630;;Meistaravörur ehf;600301-3650;;;490269-4019;;
490269-4019;;Mekka Wines & Spirits;550595-2579;;;490606-1220;;
490606-1220;;Miðbaugur ehf;570169-0339;;;490689-2499;;
490689-2499;;Music og sport ehf;590398-2259;;;490708-0140;;
490708-0140;;Nathan & Olsen;470169-1419;;;490895-2569;;
490895-2569;;Nathan og Olsen hf;570169-0339;;;491006-2340;;
491006-2340;;Ñslenskt framtak h.f;00074152;;;491007-1680;;
491007-1680;;Öl & Vín ehf.;550394-2359;;;491202-3510;;
491202-3510;;Ölgerðin Egill Skall;420369-7789;;;500103-3020;;
500103-3020;;Ölgerðin Egill Skallagr. hf.;420369-7789;;;500306-0920;;
500306-0920;;Ölgerðin Egill Skallagrímss;550595-2579;;;500316-0470;;
500316-0470;;Osta- og smjörsalan;640490-1369;;;500502-2580;;
500502-2580;;Osta- og smjörsalan sf;640490-1369;;;500510-1290;;
500510-1290;;Pappír hf;620988-1039;;;500807-1130;;
500807-1130;;Pasilla ehf.;650302-2650;;;501117-0210;;
501117-0210;;Patrician ehf.;460404-2310;;;501296-2289;;
501296-2289;;Pax ehf;511105-1290;;;510107-1870;;
510107-1870;;Pax ehf.;601289-1489;;;510117-1740;;
510117-1740;;Pele ehf;461205-1190;;;510169-3449;;
510169-3449;;Perlan;650299-2809;;;510515-1020;;
510515-1020;;Perlu-Kaup ehf;650299-2809;;;510609-0420;;
510609-0420;;Perlu-Kaup ehf.;650299-2809;;;510808-0960;;
510808-0960;;Rafkóp-Samvirki ehf (RS Vín );490104-2160;;;510811-0700;;
510811-0700;;Rafkóp-Samvirki ehf.;490104-2160;;;511005-1080;;
511005-1080;;Raftækjasalan ehf;520269-1189;;;511105-1290;;
511105-1290;;Raftækjasalan ehf.;660505-0240;;;511198-2599;;
511198-2599;;Rakó ehf;461004-3180;;;511217-1130;;
511217-1130;;Reino ehf;430304-4020;;;520269-1189;;
520269-1189;;Rolf Johansen & Co e;550394-2359;;;520690-1589;;
520690-1589;;Rolf Johansen & Co ehf;420178-0349;;;520914-2180;;
520914-2180;;Rolf Johansen & Co ehf.;550394-2359;;;520986-2009;;
520986-2009;;Rolf Johansen & Comp;550394-2359;;;521092-2549;;
521092-2549;;RS vín ehf;490104-2160;;;521207-0430;;
521207-0430;;RS vín ehf.;550595-2579;;;521288-1409;;
521288-1409;;S&P innflutningur ehf;550405-0400;;;530206-0330;;
