No_;Description;Unit Price;Söluflokkur;Item Category Code;ABC-Item;Áfengisgjald (tegund);Base Unit of Measure;Millilítrar;Heiti umboðsmanns;Vendor No_
00001;Sérpöntun-rauðvín;0;;01;0;0;FL.;0;;
00002;Inneignarnóta;0;;;0;0;STK.;0;;
00006;Albert Bichot Saint-Emilion;2698;REYNSLA;01;0;2;FL.;750;Habe ehf.;530303-2410
00022;Cordier Margaux Collection Privée;2190;REYNSLA;01;0;2;FL.;750;Karl K. Karlsson;601289-1489
00025;Chateau Haut-Batailley Pauillac;6999;SÉRFLOKKUR;01;3;2;FL.;750;Karl K. Karlsson hei;550595-2579
00026;Beau Rivage;1090;KJARNI;01;0;2;FL.;750;Karl K. Karlsson hei;601289-1489
00028;Chateau Ducla;1340;REYNSLA;01;0;2;FL.;750;Icemex ehf.;430671-0149
00030;Chateau La Fleur Bonnet;2100;REYNSLA;01;0;2;FL.;750;Icemex ehf.;450298-2399
00032;Bouchard Aine Mercurey Reserve;0;KJARNI;01;0;2;FL.;750;;
00033;Chateau de Rions;2490;SÉRPÖNTUN;01;3;2;FL.;750;Vínval ehf.,;600896-2539
00034;Chateau de Rions Jólavín;1050;SÉRPÖNTUN;01;3;2;FL.;750;Vínval ehf.;600896-2539
00039;Mouton Cadet;2499;KJARNI;01;3;2;FL.;750;Lind ehf.;530303-2410
00043;Malesan;1190;KJARNI;01;0;2;FL.;750;Austurbakki h.f.;511105-1290
00044;Mouton Cadet;2180;KJARNI;01;0;2;FL.;1500;Lind ehf.;530354-0169
00046;Chateau Coucheroy;3295;SÉRFLOKKUR;01;3;2;FL.;750;Vínland;491007-1680
00047;Fonset Lacour;770;KJARNI;01;0;2;FL.;750;Karl K. Karlsson;601289-1489
00048;Chateau Coucheroy;780;REYNSLA;01;0;2;FL.;375;Vínland;550394-2359
00050;Le Piat Merlot;990;KJARNI;01;0;2;FL.;750;Karl K. Karlsson hei;601289-1489
00051;Piat de Beaujolais;1090;KJARNI;01;0;2;FL.;750;Karl K. Karlsson;601289-1489
00052;Piat de Beaujolais;550;KJARNI;01;0;2;FL.;375;Karl K. Karlsson;601289-1489
00053;Piat Fleurie;1210;KJARNI;01;0;2;FL.;750;Karl K. Karlsson;601289-1489
00057;Pasquier-Desvignes Fleurie;1250;REYNSLA;01;0;2;FL.;750;Silva tré og stál eh;
00059;Bouchard Aine Beaujolais Nouveau 2006;1040;MÁNAÐARFL;01;3;2;FL.;750;Glóbus hf.;570169-0339
00060;Piat Beaujolais Nouveau;1040;MÁNAÐARFL;01;3;2;FL.;750;Karl K. Karlsson hei;601289-1489
00061;Mommessin Beaujolais Nouveau;1090;MÁNAÐARFL;01;3;2;FL.;750;Albert Guðmundsson,;550389-2669
00062;Georges Duboeuf Beaujolais-Villages Nouveau;1913;MÁNAÐARFL;01;3;2;FL.;750;Lind ehf.;530303-2410
00066;Joseph Drouhin Beaujolais-Villages Nouveau 2008;1772;MÁNAÐARFL;01;3;2;FL.;750;Lind ehf.;530303-2410
00068;Georges Blanc Beaujolais Nouveau;1220;MÁNAÐARFL;01;3;2;FL.;750;Austurbakki h.f.;580483-0709
00070;Bouchard Aine Mercurey Premier Cru;4199;SÉRFLOKKUR;01;3;2;FL.;750;Glóbus h.f.,;570169-0339
00073;Pere Patriarche;1050;REYNSLA;01;0;2;FL.;750;Lind ehf.;420369-7789
00074;Cavalier Royal;890;KJARNI;01;0;2;FL.;750;Icemex ehf.;420369-7789
00075;Paul Jaboulet Les Cedres Chateauneuf du Pape;5799;SÉRFLOKKUR;01;3;2;FL.;750;Nathan & Olsen;470169-1419
00076;Paul Jaboulet Chateauneuf-du-Pape Les Cedres;0;;01;0;0;;375;;570169-0339
00077;La Fiole du Pape;3999;KJARNI;01;0;2;FL.;750;Lind ehf.;530303-2410
00086;Mommessin Cotes du Rhone Les Epices;850;REYNSLA;01;0;2;FL.;750;Albert Guðmundsson,;550389-2669
00091;Cavalier de France;790;KJARNI;01;0;2;FL.;750;Glóbus h.f.;570169-0339
00092;Chateau Fontareche Corbieres;690;KJARNI;01;0;2;FL.;750;Allied Domecq Spirit;550595-2579
00096;Jean Claude Pepin Herault Rouge;4997;KJARNI;01;0;2;BOX;3000;Lind ehf.;530303-2410
00097;Jean Claude Pepin Herault Rouge;6997;KJARNI;01;0;2;BOX;5000;Lind ehf.;530303-2410
00098;Cep Or Merlot;5499;KJARNI;01;0;2;BOX;3000;Lind ehf.;530303-2410
00101;Chateau Val Joanis Les Griottes;1410;KJARNI;01;0;2;FL.;750;Karl K. Karlsson hei;601289-1489
00103;Le Piat d'Or;1529;SÉRPÖNTUN;01;3;2;FL.;750;Karl K. Karlsson;601289-1489
00105;Vin de Pays de Vaucluse;2240;KJARNI;01;0;2;BOX;3000;Vínland;550394-2359
00107;Vin de Pays de Vaucluse;4980;KJARNI;01;0;2;BOX;5000;Vínland;550394-2359
00108;Grey Goose Vodka;8999;REYNSLA;16;1;3;FL.;700;;550595-2579
00109;Georges Duboeuf Beaujolais;1949;SÉRFLOKKUR;01;3;2;FL.;750;;530303-2410
00111;Vina Pomal;0;KJARNI;01;0;2;FL.;750;;
00116;Torres Gran Coronas Cabernet Sauvignon 50 ára ;2799;KJARNI;01;2;2;FL.;750;Karl K. Karlsson hei;501117-0210
00118;Marques de Riscal Reserva;3132;KJARNI;01;1;2;FL.;750;Lind ehf.;530303-2410
00119;Marques de Riscal Reserva;1990;REYNSLA;01;0;2;FL.;375;Pax ehf;511105-1290
00121;Joseph Drouhin Laforet Pinot Noir;2782;KJARNI;01;2;2;FL.;750;Lind ehf.;530303-2410
00122;Faustino I Gran Reserva;4199;KJARNI;01;2;2;FL.;750;Karl K. Karlsson;470169-1419
00123;Marques de Arienzo Reserva;2799;KJARNI;01;0;2;FL.;750;Allied Domecq Spirit;550595-2579
00124;Marques de Arienzo Gran Reserva;3499;KJARNI;01;0;2;FL.;750;Allied Domecq Spirit;550595-2579
00125;Gallo Winemaker's Seal Ruby Cabernet;1699;KJARNI;01;0;2;FL.;750;Glóbus hf.;570169-0339
00126;Paternina Vina Vial Reserva;850;KJARNI;01;0;2;FL.;750;H. Ólafsson & Bernhö;410999-2859
00127;Paternina Gran Reserva;1410;KJARNI;01;0;2;FL.;750;H. Ólafsson & Bernhö;410999-2859
00130;Royal Claret;820;KJARNI;01;0;2;;0;;
00131;Bersano Barolo Nirvasco;2990;REYNSLA;01;0;2;FL.;750;HOB-vín ehf.;410999-2859
00132;Bersano Dolcetto d'Alba Coldelfosso;1790;REYNSLA;01;0;2;FL.;750;;410999-2859
00133;Montecillo Crianza Tempranillo;1999;KJARNI;01;1;2;FL.;750;Glóbus h.f.;570169-0339
00134;Albor;990;KJARNI;01;0;2;FL.;750;Vínland;550394-2359
00135;Campo Viejo Reserva;2599;KJARNI;01;1;2;FL.;750;Vínland;550595-2579
00136;Las Campanas Crianza;990;KJARNI;01;0;2;FL.;750;Vínland;550595-2579
00137;Montecillo Gran Reserva;3399;KJARNI;01;3;2;FL.;750;Glóbus h.f.,;570169-0339
00141;Vina Mater Reserva;1200;KJARNI;01;0;2;FL.;750;Habe Imp-Exp.;420895-2599
00142;Marques de Grinon;1190;REYNSLA;01;0;2;FL.;750;Lind ehf.;530303-2410
00144;Beronia Gran Reserva;3399;SÉRPÖNTUN;01;3;2;FL.;750;Austurbakki h.f.;530303-2410
00146;Pierre Andre Bourgogne Pinot Noir;1540;REYNSLA;01;0;2;FL.;750;Austurbakki hf.;580483-0709
00147;Pavillon du Glana Saint-Julien;2590;SÉRFLOKKUR;01;3;2;FL.;750;Austurbakki hf.;550595-2579
00148;Beronia Reserva;2931;KJARNI;01;2;2;FL.;750;Austurbakki h.f.;530303-2410
00150;Georges Blanc Bourgogne Pinot Noir;1250;KJARNI;01;0;2;FL.;750;Austurbakki h.f.;580483-0709
00151;Barramundi Shiraz Merlot;2090;KJARNI;01;0;2;BOX;2000;Austurbakki h.f.;580483-0709
00152;George Blanc Cotes-du-Rhone;970;KJARNI;01;0;2;FL.;750;Austurbakki h.f.;580483-0709
00153;Beringer Napa Valley Cabernet Sauvignon;1890;KJARNI;01;0;2;FL.;750;Austurbakki hf.;420369-7789
00154;Canepa Reserva Cabernet Sauvignon;1999;REYNSLA;01;0;2;FL.;750;Austurbakki hf.;420178-0349
00155;Vina Izadi Crianza;1280;KJARNI;01;0;2;FL.;750;Albert Guðmundsson,;550389-2669
00156;Santa Cristina Toscana;2098;KJARNI;01;3;2;FL.;750;Glóbus h.f.;570169-0339
00157;Santa Cristina Toscana;1014;SÉRPÖNTUN;01;3;2;FL.;375;Glóbus h.f.;570169-0339
00159;Ruffino Chianti ;1999;SÉRPÖNTUN;01;3;2;FL.;750;Ölgerðin Egill Skallagrímss;550595-2579
00162;Pasqua Merlot delle Venezie;2990;KJARNI;01;1;2;FL.;1500;Rolf Johansen & Comp;550394-2359
00163;Banfi VB Entree;1590;KJARNI;01;0;2;FL.;1500;Lind ehf.;530354-0169
00164;Riunite Lambrusco;1399;KJARNI;01;2;2;FL.;750;Lind ehf.;530303-2410
00165;Riunite Lambrusco;2531;KJARNI;01;2;2;FL.;1500;Lind ehf.;530303-2410
00166;Bell'Agio Chianti;2499;KJARNI;01;3;2;FL.;750;Lind ehf.;530303-2410
00167;Ruffino Riserva Ducale Chianti Classico;3150;KJARNI;01;2;2;FL.;750;Lind ehf.;550595-2579
00172;Brolio Chianti Classico;3499;SÉRFLOKKUR;01;3;2;FL.;750;Karl K. Karlsson hei;501117-0210
00174;Barolo Mirafiore;1860;KJARNI;01;0;2;FL.;750;Lind ehf.;530354-0169
00175;M. Chapoutier Chateauneuf-du-Pape La Bernardine;6595;SÉRFLOKKUR;01;3;2;FL.;750;Lind ehf.;491007-1680
00176;Nederburg Foundation Cabernet Sauvignon;1899;KJARNI;01;0;2;FL.;750;Lind ehf.;570169-0339
00177;Masi Campofiorin;2599;KJARNI;01;1;2;FL.;750;Lind ehf.;420369-7789
00178;Egri Bikaver;860;KJARNI;01;0;2;FL.;750;Icemex ehf.;450298-2399
00183;Lindeman's Cawarra Shiraz Cabernet;2231;SÉRPÖNTUN;01;3;2;FL.;750;Vínland;420369-7789
00184;Lindeman's St. George Cabernet Sauvignon;3050;REYNSLA;01;0;2;FL.;750;Vínland;550394-2359
00185;Penfolds Koonunga Hill Shiraz Cabernet;2699;SÉRFLOKKUR;01;3;2;FL.;750;Vínland;420369-7789
00186;Penfolds Bin 407 Cabernet Sauvignon;2330;REYNSLA;01;0;2;FL.;750;Vínland;550394-2359
00189;Paul Masson Burgundy;1320;REYNSLA;01;0;2;FL.;1000;Karl K. Karlsson;601289-1489
00190;Paul Masson Burgundy;1790;REYNSLA;01;0;2;FL.;1500;Karl K. Karlsson;601289-1489
00194;Blossom Hill Soft & Fruity rautt;1599;SÉRPÖNTUN;01;3;2;FL.;750;Karl K. Karlsson hei;420369-7789
00197;Glen Ellen Cabernet Sauvignon Concannon Vineyards;1799;REYNSLA;01;0;2;FL.;750;Karl K. Karlsson hei;550595-2579
00204;Alianca Bairrada Garrafeira;800;RÝMINGARS;01;0;2;FL.;750;Jón Karl Einarsson;590398-2259
00205;Messias Dao Tinto;680;KJARNI;01;0;2;FL.;750;Jón Karl Einarsson;590398-2259
00211;Santa Carolina Cabernet Sauvignon Reserva;2490;REYNSLA;01;1;2;FL.;750;Vínland;601083-0789
00212;Villa Montes Cabernet Sauvignon;1699;KJARNI;01;0;2;FL.;750;Glóbus h.f.,;570169-0339
00213;Montes Alpha Cabernet Sauvignon;2999;SÉRFLOKKUR;01;3;2;FL.;750;Glóbus h.f.,;570169-0339
00219;Roodeberg;2299;SÉRFLOKKUR;01;3;2;FL.;750;Karl K. Karlsson hei;420369-7789
00220;Rust en Vrede;2930;REYNSLA;01;0;2;FL.;750;Karl K. Karlsson hf.;670502-2010
00223;Frescobaldi Nipozzano Riserva;3495;REYNSLA;01;0;2;FL.;750;Vínland;491007-1680
00225;Caviro Merlot Veneto;2190;KJARNI;01;0;2;FL.;2000;Kasima;580199-2919
00226;Piat Brouilly;1210;KJARNI;01;0;2;FL.;750;Karl K. Karlsson hei;601289-1489
00227;Kouros Nemea;890;KJARNI;01;0;2;FL.;750;Karl K. Karlsson hei;601289-1489
00229;Santa Alicia Merlot Reserve;1640;REYNSLA;01;0;2;FL.;750;Lind ehf.;420369-7789
00230;Santa Ines Legado de Armida Cabernet Sauvignon Res;1240;REYNSLA;01;0;2;FL.;750;Habe ehf.;420895-2599
00231;Santa Ines Cabernet Sauvignon;1396;REYNSLA;01;0;2;FL.;750;Vínheimar ehf.;420895-2599
00236;Boyar Lovico Suhindol Cabernet Sauvignon;900;KJARNI;01;0;2;FL.;750;Vínland;550394-2359
00238;Weinert Carrascal;1320;REYNSLA;01;0;2;FL.;750;Vínland;550394-2359
00239;Cavas de Weinert;1700;REYNSLA;01;0;2;FL.;750;Vínland;550394-2359
00240;Weinert Malbec;1070;REYNSLA;01;0;2;FL.;750;Vínland;550394-2359
00242;Cabernet Sauvignon Barique;1100;REYNSLA;01;0;2;FL.;500;Elgur;601083-0789
00244;Sérpöntun-hvítvín;1561;SÉRPÖNTUN;02;3;2;FL.;750;Ber ehf;550394-2359
00247;Chateau de Rions;820;KJARNI;02;0;2;FL.;750;Vínval ehf.,;600896-2539
00249;Beau Rivage;980;KJARNI;02;0;2;FL.;750;Karl K. Karlsson hei;601289-1489
00250;Beau Rivage;410;KJARNI;02;0;2;FL.;375;Karl K. Karlsson hei;601289-1489
00251;Mouton Cadet hvítt;1999;REYNSLA;02;0;2;FL.;750;Lind ehf.;530303-2410
00252;Mouton Cadet hvítt;1018;KJARNI;02;3;2;FL.;375;Bakkus ehf;530303-2410
00254;Baron de Montesquieu Moelleux;1120;KJARNI;02;0;2;FL.;500;Glóbus h.f.,;570169-0339
00257;Chateau Bonnet Entre-Deux-Mers hvítt;2450;REYNSLA;02;0;2;FL.;750;Vínland;491007-1680
00259;Chateau Bonnet;710;KJARNI;02;0;2;FL.;375;Vínland;550394-2359
00263;Thorin Chablis;1070;KJARNI;02;0;2;FL.;750;Albert Guðmundsson,;550389-2669
00264;Mommessin Chardonnay Nid d'Abeille;1030;REYNSLA;02;0;2;FL.;750;;550389-2669
00265;Bouchard Aine Pouilly-Fuissé;3999;KJARNI;02;2;2;FL.;750;Glóbus h.f.;570169-0339
00267;Bouchard Aine Mercurey;0;REYNSLA;02;0;0;;750;;570169-0339
00268;Domaine Laroche Chablis Vaudevey;4032;SÉRFLOKKUR;02;3;2;FL.;750;Karl K. Karlsson hei;530303-2410
00270;Fonset Lacour;0;KJARNI;02;0;2;FL.;750;Karl K. Karlsson hei;601289-1489
00274;Grand Patriarche;630;KJARNI;02;0;2;FL.;750;Lind ehf.;420369-7789
00276;Chateau de Cleray Muscadet Sevre et Maine sur Lie;1593;SÉRPÖNTUN;02;3;2;FL.;750;Lind ehf.;530303-2410
00277;Chateau de Cleray Muscadet Sevre et Maine sur Lie;843;REYNSLA;02;0;2;FL.;375;;530303-2410
00283;Dopff & Irion Gewurztraminer;1190;KJARNI;02;0;2;FL.;700;Karl K. Karlsson;601289-1489
00284;Dopff & Irion Gewurztraminer;880;REYNSLA;02;0;2;FL.;375;Karl K. Karlsson hf.;601289-1489
00287;Hugel Riesling;2498;SÉRPÖNTUN;02;3;2;FL.;750;Lind ehf.;530303-2410
00290;Hugel Gewurztraminer;2830;SÉRFLOKKUR;02;3;2;FL.;750;Lind ehf.;530303-2410
00291;Joseph Drouhin Chablis Les Clos;6698;SÉRFLOKKUR;02;3;2;FL.;750;Lind ehf.;530303-2410
00292;Gewurztraminer Herrenweg;1490;KJARNI;02;0;2;FL.;750;Þorbjörn Magnússon;00070621
00293;Pinot Blanc;860;KJARNI;02;0;2;FL.;750;;00174104
00294;Pfaff Steinert Riesling;1950;REYNSLA;02;0;2;FL.;750;Rolf Johansen & Co ehf.;550394-2359
00296;Sancerre;930;KJARNI;02;0;2;FL.;750;Enginn umboðsmaður;00070808
00299;Lion d'Or;2699;KJARNI;02;0;2;FL.;1500;Allied Domecq Spirit;550595-2579
00300;Cavalier Royal;610;REYNSLA;02;0;2;FL.;750;Icemex ehf.;420369-7789
00301;Jean Claude Pepin Herault Blanc;4938;KJARNI;02;0;2;BOX;3000;Lind ehf.;530303-2410
00302;Piat d'Or;1499;REYNSLA;02;0;2;FL.;750;Karl K. Karlsson;601289-1489
00303;Piat Chardonnay;760;KJARNI;02;0;2;FL.;750;Karl K. Karlsson hei;601289-1489
00305;Le Cep Italian Chardonnay;2990;KJARNI;02;0;2;BOX;3000;Lind ehf.;530303-2410
00308;Campo Viejo Viura Barrel Fermented;1240;REYNSLA;02;0;2;FL.;750;Vínland;550595-2579
00309;Cotes du Luberon;3180;KJARNI;02;0;2;BOX;3000;Vínland;550394-2359
00310;La Font de L'Orme;0;KJARNI;;0;2;FL.;0;;451295-2929
00311;Ellerer Engelströpfchen;1799;KJARNI;02;0;2;FL.;750;H. Ólafsson & Bernhö;410999-2859
00312;Landenberg Graacher Himmelreich Riesling Spätlese;1190;REYNSLA;02;0;2;FL.;750;H. Ólafsson & Bernhö;410999-2859
00313;Senheimer Rosenhang Kabinett;870;KJARNI;02;0;2;FL.;750;H. Ólafsson & Bernhö;410999-2859
00324;Green Gold;790;REYNSLA;02;0;2;FL.;750;Allied Domecq Spirit;550595-2579
00325;Mosel Gold Riesling;2005;REYNSLA;02;0;2;FL.;750;Elgur;601083-0789
00327;Liebfraumilch Nahe;790;KJARNI;02;0;2;FL.;750;H. Ólafsson & Bernhö;410999-2859
00334;Frankhof Hochheimer Daubhaus Riesling Kabinett;1990;KJARNI;02;0;2;FL.;750;Austurbakki h.f.;700103-3660
00335;Frankhof Hochheimer Daubhaus Riesling Kabinett;590;REYNSLA;02;0;2;FL.;375;Austurbakki hf;511105-1290
00336;Hochheimer Daubhaus;1780;KJARNI;02;0;2;FL.;1500;Austurbakki h.f.;580483-0709
00337;Black Tower Rivaner;890;REYNSLA;02;0;2;FL.;750;Elgur ehf.;550595-2579
00345;Torres San Valentin;1749;KJARNI;02;1;2;FL.;750;Karl K. Karlsson hf;501117-0210
00346;Torres San Valentin;1059;SÉRFLOKKUR;02;3;2;FL.;375;Karl K. Karlsson hei;501117-0210
00348;Torres Gran Vina Sol Chardonnay;2499;SÉRFLOKKUR;02;3;2;FL.;750;Karl K. Karlsson hei;501117-0210
00349;Torres Vina Esmeralda;1999;KJARNI;02;3;2;FL.;750;Karl K. Karlsson hei;501117-0210
00351;Montecillo Blanco;1999;REYNSLA;02;1;2;FL.;750;Glóbus h.f.,;570169-0339
00353;Carta de Plata Blanco;1000;KJARNI;02;0;2;FL.;750;Lind ehf.;530354-0169
00354;Joseph Drouhin Laforet Chardonnay;2196;KJARNI;02;0;2;FL.;750;Lind ehf.;530303-2410
00355;Nederburg Foundation Chardonnay;1798;KJARNI;02;0;2;FL.;750;Lind ehf.;570169-0339
00356;JeanJean Chardonnay;1598;REYNSLA;02;0;2;FL.;750;Lind ehf.;530303-2410
00357;Patriarche Per'Pat Chardonnay VDP;790;KJARNI;02;0;2;FL.;750;Lind ehf.;420369-7789
00358;Pasqua Pinot Grigio;3390;KJARNI;02;2;2;FL.;1500;Rolf Johansen & Comp;550394-2359
00360;Valle Colli Orientali del Friuli Pinot Grigio;1590;KJARNI;02;0;2;FL.;750;H. Ólafsson & Bernhö;410999-2859
00361;Villa Antinori hvítt;2098;KJARNI;02;2;2;FL.;750;Glóbus h.f.,;570169-0339
00363;Lindeman's Chardonnay Bin 65;2199;KJARNI;02;3;2;FL.;750;Vínland;420369-7789
00364;Wynns Coonawarra Chardonnay;1040;KJARNI;02;0;2;FL.;750;;550394-2359
00366;Penfolds Rawsons Retreat Bin 202;1130;KJARNI;02;0;2;FL.;750;Vínland;550394-2359
00367;Lindeman's Padthaway Chardonnay;1700;REYNSLA;02;0;2;FL.;750;Vínland;550394-2359
00368;Lindeman's Cawarra Colombard Chardonnay;1799;KJARNI;02;0;2;FL.;750;Vínland;420369-7789
00369;Penfolds Koonunga Hill Chardonnay;2299;SÉRFLOKKUR;02;3;2;FL.;750;Vínland;420369-7789
00374;Storch Spatlese;1699;REYNSLA;02;0;2;FL.;750;Habe ehf.;530303-2410
00379;Paul Masson Chablis;1230;REYNSLA;02;3;2;FL.;750;;601289-1489
00380;Paul Masson California Chablis;1790;REYNSLA;02;0;2;FL.;1500;Karl K. Karlsson;601289-1489
00383;Livingston Chablis Blanc;1490;KJARNI;02;0;2;FL.;1500;Glóbus hf.;570169-0339
00384;Beringer Napa Valley Chardonnay;3499;REYNSLA;02;1;2;FL.;750;Austurbakki h.f.;420369-7789
00385;Canepa Reserva Chardonnay;1999;REYNSLA;02;0;2;FL.;750;Austurbakki h.f.;420178-0349
00386;Blossom Hill Crisp & Fruity hvítt;1499;SÉRPÖNTUN;02;3;2;FL.;750;Karl K. Karlsson hei;420369-7789
00388;Santa Carolina Chardonnay Reserva;2499;REYNSLA;02;1;2;FL.;750;Vínland;601083-0789
00389;Villa Montes Sauvignon Blanc;1499;REYNSLA;02;0;2;FL.;750;Glóbus h.f.,;570169-0339
00390;Montes Chardonnay Reserva;1999;KJARNI;02;1;2;FL.;750;Glóbus h.f.,;570169-0339
00392;L.A. Cetto Sauvignon Blanc;1360;REYNSLA;02;0;2;FL.;750;Lind ehf.;420369-7789
00393;Stoneleigh Riesling;1492;REYNSLA;02;0;2;FL.;750;Vínland;550595-2579
00394;Stoneleigh Chardonnay;1390;KJARNI;02;0;2;FL.;750;Þorbjörn Magnússon;550595-2579
00395;Stoneleigh Sauvignon Blanc;1599;REYNSLA;02;0;2;FL.;750;Vínland;550595-2579
00397;"Paul Jaboulet Crozes Hermitage ""Mule Blanche""";970;KJARNI;02;0;2;FL.;750;Nathan & Olsen;00070901
00399;Rene Barbier Blanco Seco;1499;REYNSLA;02;0;2;FL.;750;;420369-7789
00405;Franck Millet Sancerre;3099;KJARNI;02;2;2;FL.;750;Austurbakki hf.;470169-1419
00406;Beronia Viura;1898;SÉRFLOKKUR;02;3;2;FL.;750;Austurbakki h.f.;530303-2410
00410;Rene Mure Pinot Gris Signature;2699;KJARNI;02;2;2;FL.;750;Austurbakki h.f.;470169-1419
00411;La Chablisienne Chablis Vieilles Vignes;3775;SÉRPÖNTUN;02;3;2;FL.;750;Glóbus h.f.;570169-0339
00412;La Chablisienne Chablis La Sereine;2999;KJARNI;02;2;2;FL.;750;Glóbus h.f.;570169-0339
00414;Guntrum riesling;1299;REYNSLA;02;1;2;FL.;750;Glóbus h.f.;570169-0339
00419;Beringer Founders' Estate Sauvignon Blanc;2699;SÉRFLOKKUR;02;3;2;FL.;750;Austurbakki hf.;420369-7789
00420;Cune Crianza;4699;REYNSLA;01;1;2;FL.;1500;;420178-0349
00421;KWV Chenin Blanc;990;REYNSLA;02;0;2;FL.;750;Karl K. Karlsson hf.;601289-1489
00422;Riunite Bianco;1398;SÉRPÖNTUN;02;3;2;FL.;750;Lind ehf.;530303-2410
00424;Joseph Drouhin Saint-Veran;2998;REYNSLA;02;0;2;FL.;750;Lind ehf.;530303-2410
00429;Glen Ellen Chardonnay Reserve;990;REYNSLA;02;0;2;FL.;750;Karl K. Karlsson hei;420369-7789
00433;Ricasoli Orvieto Classico Pian del Gelso;1150;KJARNI;02;0;2;FL.;750;Karl K. Karlsson hei;601289-1489
00434;Kouros Patras;760;KJARNI;02;0;2;FL.;750;;601289-1489
00442;Sérpöntun-rósavín;0;SÉRPÖNTUN;03;3;2;FL.;0;;
00444;Jean-Claude Pepin Rose;2980;REYNSLA;03;3;2;BOX;3000;Lind ehf.;530303-2410
00446;La Midinette Rose;890;KJARNI;03;0;2;FL.;750;Lind ehf.;530354-0169
00449;Mouton Cadet Rose;1999;SÉRFLOKKUR;03;3;2;FL.;750;Lind ehf.;530303-2410
00451;Marques de Riscal Rosado;1999;SÉRFLOKKUR;03;3;2;FL.;750;Lind ehf.;530303-2410
00454;Mateus;1699;KJARNI;03;1;2;FL.;750;Karl K. Karlsson hei;550595-2579
00455;Mateus;799;SÉRFLOKKUR;03;3;2;FL.;375;Karl K. Karlsson hei;550595-2579
00456;Mateus;2599;REYNSLA;03;0;2;FL.;1500;Karl K. Karlsson hei;550595-2579
00457;Lancer's Rose;0;KJARNI;03;0;2;FL.;750;;
00458;Trovador Rose;790;KJARNI;03;0;2;FL.;750;Glóbus h.f.;570169-0339
00462;Livingston Blush 0,75 l = 06706;650;KJARNI;03;0;2;FL.;750;Glóbus hf.;570169-0339
00463;Livingston Blush 1,5l.=06707;1260;KJARNI;03;0;2;FL.;1500;Glóbus hf.;570169-0339
00466;Cotes du Luberon La Font de L'Orme Rose;1060;KJARNI;03;0;2;FL.;750;Vínland;550394-2359
00469;Paternina Banda Rosa;700;KJARNI;03;0;2;FL.;750;H. Ólafsson & Bernhö;410999-2859
00470;Riunite Blush Bianco;1374;KJARNI;03;3;2;FL.;750;Lind ehf.;530303-2410
00472;Rosé Vipava;910;KJARNI;03;0;2;FL.;750;Elgur;601083-0789
00473;Blason Timberlay Clairet;1120;SÉRFLOKKUR;03;3;2;FL.;750;H.S.S. ehf.;601083-0789
00474;Sérpöntun-freyðivín;0;SÉRPÖNTUN;04;3;2;FL.;0;;
00475;G.H.Mumm Demi-Sec;5699;SÉRFLOKKUR;04;3;2;FL.;750;Karl K. Karlsson;550595-2579
00476;G.H.Mumm Cordon Rouge Brut;5699;KJARNI;04;3;2;FL.;750;Karl K. Karlsson;550595-2579
00477;Moet & Chandon Brut Imperial;6199;KJARNI;04;1;2;FL.;750;Albert Guðmundsson;420369-7789
00479;Veuve Clicquot Brut;5999;KJARNI;04;1;2;FL.;750;Glóbus h.f.;570169-0339
00481;Veuve Clicquot Ponsardin Brut;1590;REYNSLA;04;0;2;FL.;375;Glóbus h.f.,;570169-0339
00482;Gosset Brut Excellence;3999;KJARNI;04;3;2;FL.;750;H. Ólafsson & Bernhö;410999-2859
00484;Taittinger Brut Reserve;6231;KJARNI;04;3;2;FL.;750;Lind ehf.;530303-2410
00488;Veuve Chantal Brut;890;KJARNI;04;0;2;FL.;750;Karl K. Karlsson hei;601289-1489
00489;Veuve Chantal Demi-Sec;620;KJARNI;04;0;2;FL.;750;Karl K. Karlsson hei;601289-1489
00490;Opera blanc de blanc sec;280;KJARNI;04;0;2;FL.;200;Elgur;601083-0789
00491;;0;;;0;0;;0;;
00492;Duc de Damien;560;REYNSLA;04;0;2;FL.;750;Lind ehf.;420369-7789
00493;Kriter Demi Sec;2589;KJARNI;04;0;2;FL.;750;Lind ehf.;601083-0789
00498;Gancia Asti;1599;KJARNI;04;1;2;FL.;750;Lind ehf.;420369-7789
00499;Gancia II Castello Brut d'Oro;1070;REYNSLA;04;0;2;FL.;750;Lind ehf.;530354-0169
00500;Riccadonna Asti;880;REYNSLA;04;0;2;KIP.;600;;601289-1489
00501;Riccadonna Asti;2204;SÉRPÖNTUN;04;3;2;FL.;750;Karl K. Karlsson;601289-1489
00502;Martini Asti;1599;KJARNI;04;2;2;FL.;750;Allied Domecq Spirit;550595-2579
00504;Toso Asti;1294;REYNSLA;04;0;2;FL.;750;Habe ehf.;660505-0240
00505;Bersano Rosso;710;REYNSLA;04;0;2;FL.;750;;410999-2859
00506;Bersano Asti;690;REYNSLA;04;0;2;FL.;750;H. Ólafsson & Bernhö;410999-2859
00508;Duval-Leroy Brut Premier Cru;2995;SÉRPÖNTUN;04;3;2;FL.;750;Icemex ehf.;470169-1419
00509;Henkell Trocken;840;REYNSLA;04;0;2;PK.;600;Rolf Johansen & Comp;550394-2359
00510;Henkell Trocken;1890;KJARNI;04;3;2;FL.;750;Rolf Johansen & Comp;550394-2359
