No_;Description;Unit Price;Söluflokkur;Item Category Code;ABC-Item;Áfengisgjald (tegund);Base Unit of Measure;Millilítrar;Heiti umboðsmanns;Vendor No_
13892;Red Peak Zinfandel;1763;REYNSLA;01;0;2;FL.;750;;640102-4110
13893;Red Peak Chardonnay;1763;REYNSLA;02;0;2;FL.;750;;640102-4110
13894;Klipfel Riesling;2592;REYNSLA;02;0;2;FL.;750;;660608-2060
13895;Klipfel Pinot Gris Cuvee Particuliere;2834;KJARNI;02;0;2;FL.;750;;660608-2060
13896;Klipfel Gewurztraminer Cuvee Particuliere;2929;REYNSLA;02;0;2;FL.;750;;660608-2060
13898;Funky Llama Cabernet Sauvignon;2199;REYNSLA;01;0;2;FL.;1500;;410999-2859
13899;Funky Llama Shiraz;2199;REYNSLA;01;0;2;FL.;1500;;410999-2859
13900;Funky Llama Chardonnay;2199;REYNSLA;02;0;2;FL.;1500;;410999-2859
13901;Ölvisholt Lava Stout;799;KJARNI;61;3;1;FL.;330;;480414-1010
13907;Ballantine's 17 ára;10699;SÉRPÖNTUN;13;3;3;FL.;700;;550595-2579
13912;Casillero del Diablo Reserva Privada;2699;SÉRFLOKKUR;01;3;2;FL.;750;;550595-2579
13918;Borghetti;0;REYNSLA;20;0;3;FL.;100;;550595-2579
13919;De Leuwen Jagt Shiraz/Cabernet Sauvignon;2597;REYNSLA;01;0;2;FL.;750;;530303-2410
13920;1996 Don Melchor;5999;SÉRFLOKKUR;01;3;2;FL.;750;;550595-2579
13921;1997 Don Melchor;6047;SÉRFLOKKUR;01;3;2;FL.;750;;550595-2579
13922;Hot n'Sweet;999;KJARNI;23;2;3;FL.;100;;550595-2579
13934;Ciacci Piccolomini d'Aragona Rosso di Montalcino;3899;SÉRPÖNTUN;01;3;2;FL.;750;;420178-0349
13936;Wachauer Gruner Veltliner;2864;SÉRPÖNTUN;02;3;2;FL.;750;;420178-0349
13941;Santa Rosa Tempranillo;0;REYNSLA;01;0;2;BOX;3000;;410999-2859
13942;Santa Rosa Macabeo;0;REYNSLA;02;0;2;BOX;3000;;410999-2859
13944;Polar Beer;274;KJARNI;60;2;1;DS.;500;;420369-7789
13945;Chirico Tempranillo;4799;KJARNI;01;0;2;BOX;3000;;410999-2859
13948;Red Square Vodka;6999;SÉRPÖNTUN;16;3;3;FL.;1000;;470169-1419
13949;Mungát Þorrabjór ósíaður;311;MÁNAÐARFL;60;3;1;FL.;330;;690607-0260
13950;Ölvisholt Páskabjór 2016;347;TÍMABIL;62;1;1;FL.;330;;601289-1489
13951;Boomerang Cabernet Sauvignon;1411;KJARNI;01;0;2;FL.;750;;410999-2859
13952;Chateau Grossombre de Saint Joseph;2850;REYNSLA;01;0;2;FL.;750;;491007-1680
13953;Chateau Guibon rautt;2150;REYNSLA;01;0;2;FL.;750;;491007-1680
13956;Domaine des Malandes Montmains Premier Cru;3391;SÉRPÖNTUN;02;3;2;FL.;750;;420178-0349
13957;Polar Beer;209;KJARNI;60;3;1;DS.;330;;420369-7789
13958;Chateau Lamothe Vincent Sauvignon Blanc;1999;SÉRFLOKKUR;02;3;2;FL.;750;;420178-0349
13962;Canepa Classico Carmenere;1599;REYNSLA;01;3;2;FL.;750;;420178-0349
13964;Canepa Sauvignon Blanc;1599;REYNSLA;02;1;2;FL.;750;;420178-0349
13966;Carlo Rossi Frescato;1198;KJARNI;01;0;2;FL.;750;;570169-0339
13969;Chateau de Montfaucon;1990;SÉRPÖNTUN;01;3;2;FL.;750;;570203-3980
13970;Chateau de Montfaucon Comtesse Madeleine;2489;SÉRPÖNTUN;02;3;2;FL.;750;;570203-3980
13972;Don Simon Tinto de Verano Sabor Clasico;699;REYNSLA;06;0;2;PET;1500;;410999-2859
13973;Don Simon Tinto de Verano Sabor Limon;0;REYNSLA;06;3;3;FL.;1500;;460178-0299
13974;Campodelsole Sangiovese Merlot;1996;REYNSLA;01;0;2;FL.;750;;490708-0140
13975;Campodelsole Sangiovese Cabernet;1996;REYNSLA;01;0;2;FL.;750;;490708-0140
13976;Campodelsole Cabernet;0;REYNSLA;01;3;2;FL.;750;;490708-0140
13977;Campodelsole Sauvignon Viognier;1996;REYNSLA;02;0;2;FL.;750;;490708-0140
13979;Rocca delle Macie Vernaiolo;1890;REYNSLA;01;0;2;FL.;750;;550394-2359
13981;Grand Marnier Cordon Rouge;2290;KJARNI;20;3;3;FL.;200;;420369-7789
13982;Beringer Cabernet Sauvignon;6649;KJARNI;01;0;2;BOX;3000;;420369-7789
13983;Smirnoff Ice;409;KJARNI;23;1;3;FL.;275;;420369-7789
13984;Smirnoff Ice;459;KJARNI;23;0;3;DS.;300;;420369-7789
13985;Smirnoff Ice;1052;KJARNI;23;0;3;FL.;700;;420369-7789
13986;Santa Cristina Chianti Superiore;2298;KJARNI;01;0;2;FL.;750;;570169-0339
13987;Santa Cristina Pinot Grigio;2098;KJARNI;02;3;2;FL.;750;;570169-0339
13988;Guntrum Hvítvín;3899;KJARNI;02;0;2;BOX;3000;;570169-0339
13991;Inycon Chardonnay Pinot Grigio;6399;KJARNI;02;1;2;BOX;3000;;530303-2410
13994;Malibu Mango;5699;KJARNI;20;0;3;FL.;1000;;550595-2579
13995;Raimat Vallcorba Cabernet Sauvignon Reserva;6399;REYNSLA;01;0;2;FL.;750;;550595-2579
13996;Ronchi Verdicchio dei Castelli di Jesi Classico;1850;SÉRFLOKKUR;02;3;2;FL.;750;;570203-3980
13997;Leonardo da Vinci;5399;KJARNI;01;0;2;BOX;3000;;570169-0339
13998;Carmen Rose;1699;REYNSLA;03;0;2;FL.;750;;550394-2359
14000;Santa Ana Chardonnay - Viognier;0;REYNSLA;02;0;2;BOX;3000;;601083-0789
14002;Chateau Siran;5031;SÉRFLOKKUR;01;3;2;FL.;750;;470169-1419
14004;Chateau Clinet;13094;SÉRFLOKKUR;01;3;2;FL.;750;;470169-1419
14008;Chateau d'Yquem;14294;REYNSLA;02;0;2;FL.;375;;470169-1419
14010;Anwilka;5031;SÉRFLOKKUR;01;3;2;FL.;750;;470169-1419
14012;2005 Chateau Phelan Segur;5999;SÉRFLOKKUR;01;3;2;FL.;750;;570169-0339
14015;Vegas del Rivilla Cabernet Sauvignon Tempranillo;0;REYNSLA;01;0;2;FERNA;200;;410999-2859
14016;Vegas del Rivilla Macabeo Pardina;0;REYNSLA;02;0;2;FERNA;200;;410999-2859
14017;Carmen Cabernet Sauvignon;580;KJARNI;01;0;2;FL.;187;;550394-2359
14018;Carmen Chardonnay;580;REYNSLA;02;0;2;FL.;187;;550394-2359
14019;Solaz Viura Sauvignon Blanc;1499;REYNSLA;02;0;2;FL.;750;;570169-0339
14021;Trivento Demi Sec;1499;KJARNI;04;0;2;FL.;750;;570169-0339
14022;Murphy's Irish Stout;399;REYNSLA;61;0;1;DS.;500;;550394-2359
14025;Nite Devil;0;REYNSLA;23;3;3;FL.;300;;500306-0920
14026;Nite Spooky;0;REYNSLA;23;3;3;FL.;300;;500306-0920
14027;Nite Peach;0;REYNSLA;23;3;3;FL.;300;;500306-0920
14028;Nite Pineapple;0;REYNSLA;23;3;3;FL.;300;;500306-0920
14029;Arthur Metz Gewurztraminer;2299;REYNSLA;02;0;2;FL.;750;;550595-2579
14030;Arthur Metz Riesling;2199;SÉRPÖNTUN;02;3;2;FL.;750;;550595-2579
14031;Arthur Metz Pinot Gris;2499;KJARNI;02;1;2;FL.;750;;550595-2579
